Customer Age,Product Purchased,Ticket Type,Ticket Subject,Ticket Priority,Ticket Channel,incumplio_sla
52,Nest Thermostat,Cancellation request,Refund request,Critical,Chat,1
38,iPhone,Technical issue,Cancellation request,High,Chat,1
42,Nintendo Switch Pro Controller,Cancellation request,Network problem,Medium,Email,0
50,Bose QuietComfort,Product inquiry,Product compatibility,Medium,Chat,0
33,GoPro Action Camera,Cancellation request,Payment issue,High,Chat,0
22,Bose QuietComfort,Billing inquiry,Peripheral compatibility,Medium,Social media,1
24,Roomba Robot Vacuum,Refund request,Account access,Medium,Email,0
39,Amazon Kindle,Cancellation request,Battery life,Medium,Email,0
32,GoPro Action Camera,Refund request,Battery life,Medium,Social media,0
24,GoPro Hero,Technical issue,Cancellation request,Critical,Phone,0
30,Lenovo ThinkPad,Product inquiry,Refund request,Low,Phone,0
42,Nintendo Switch,Refund request,Data loss,Medium,Email,0
37,GoPro Hero,Product inquiry,Peripheral compatibility,Low,Email,0
62,Sony PlayStation,Product inquiry,Refund request,High,Email,1
37,Sony 4K HDR TV,Refund request,Display issue,High,Social media,0
49,Google Nest,Technical issue,Software bug,Medium,Chat,1
52,iPhone,Cancellation request,Hardware issue,Critical,Email,0
22,Adobe Photoshop,Billing inquiry,Data loss,High,Chat,0
19,Bose SoundLink Speaker,Technical issue,Display issue,High,Phone,1
43,Microsoft Surface,Product inquiry,Refund request,Critical,Chat,1
21,GoPro Action Camera,Technical issue,Delivery problem,Low,Phone,0
51,Sony 4K HDR TV,Cancellation request,Cancellation request,Medium,Social media,1
67,Google Nest,Billing inquiry,Installation support,Low,Phone,0
69,Asus ROG,Cancellation request,Battery life,Critical,Social media,0
49,Dyson Vacuum Cleaner,Product inquiry,Product compatibility,Critical,Email,1
19,Amazon Kindle,Refund request,Hardware issue,Low,Phone,0
47,Garmin Forerunner,Technical issue,Software bug,Low,Chat,0
35,Philips Hue Lights,Refund request,Hardware issue,High,Phone,1
64,Sony 4K HDR TV,Refund request,Data loss,Low,Chat,0
69,Canon EOS,Cancellation request,Product setup,Critical,Social media,1
57,MacBook Pro,Product inquiry,Delivery problem,Medium,Social media,1
55,LG OLED,Cancellation request,Network problem,Low,Email,0
39,Amazon Kindle,Technical issue,Data loss,Medium,Chat,0
36,Canon DSLR Camera,Refund request,Delivery problem,Medium,Phone,0
56,Google Nest,Technical issue,Display issue,Medium,Phone,1
47,Canon DSLR Camera,Refund request,Software bug,Critical,Chat,1
21,Nikon D,Billing inquiry,Account access,High,Social media,0
28,Fitbit Versa Smartwatch,Refund request,Cancellation request,Low,Social media,0
58,Amazon Echo,Refund request,Delivery problem,Low,Email,0
40,PlayStation,Product inquiry,Payment issue,Low,Email,0
52,Google Nest,Billing inquiry,Delivery problem,Critical,Email,1
51,Canon EOS,Product inquiry,Cancellation request,Medium,Social media,0
19,Microsoft Xbox Controller,Billing inquiry,Delivery problem,Critical,Chat,1
38,GoPro Action Camera,Cancellation request,Network problem,Low,Email,0
65,Nintendo Switch,Refund request,Data loss,Critical,Phone,1
42,Samsung Soundbar,Cancellation request,Refund request,Medium,Phone,1
60,Canon DSLR Camera,Product inquiry,Account access,Low,Social media,0
37,Amazon Kindle,Technical issue,Product setup,Low,Phone,0
70,Canon DSLR Camera,Technical issue,Data loss,Critical,Chat,1
33,Dyson Vacuum Cleaner,Product inquiry,Product compatibility,Medium,Phone,0
66,Autodesk AutoCAD,Billing inquiry,Account access,Critical,Chat,1
33,Fitbit Charge,Technical issue,Account access,Low,Social media,0
66,Sony PlayStation,Technical issue,Installation support,Medium,Phone,0
66,Garmin Forerunner,Cancellation request,Product compatibility,High,Chat,0
59,Canon DSLR Camera,Billing inquiry,Hardware issue,Critical,Phone,0
43,Sony Xperia,Technical issue,Cancellation request,Medium,Phone,0
40,Asus ROG,Product inquiry,Product compatibility,High,Chat,0
43,Canon EOS,Product inquiry,Battery life,Low,Phone,0
62,Amazon Echo,Technical issue,Delivery problem,Critical,Chat,1
54,GoPro Hero,Technical issue,Product recommendation,Medium,Phone,1
55,Dyson Vacuum Cleaner,Billing inquiry,Software bug,Critical,Phone,1
21,Nest Thermostat,Product inquiry,Account access,Critical,Chat,1
38,Nikon D,Refund request,Battery life,Low,Email,0
30,Microsoft Office,Refund request,Product setup,Medium,Chat,0
52,Bose QuietComfort,Refund request,Display issue,Critical,Social media,1
48,Sony 4K HDR TV,Technical issue,Account access,Medium,Phone,1
32,Microsoft Xbox Controller,Technical issue,Peripheral compatibility,Medium,Phone,0
27,Adobe Photoshop,Cancellation request,Cancellation request,Medium,Chat,0
18,PlayStation,Refund request,Display issue,Low,Email,0
44,Google Pixel,Billing inquiry,Installation support,Critical,Email,1
42,Nikon D,Product inquiry,Peripheral compatibility,Critical,Chat,0
44,LG OLED,Technical issue,Network problem,Medium,Phone,0
20,Sony Xperia,Cancellation request,Cancellation request,High,Phone,1
46,Canon EOS,Billing inquiry,Peripheral compatibility,High,Phone,1
44,Samsung Galaxy,Product inquiry,Network problem,Low,Social media,0
25,Adobe Photoshop,Billing inquiry,Network problem,Medium,Chat,1
32,Sony 4K HDR TV,Billing inquiry,Data loss,Low,Email,0
66,Apple AirPods,Product inquiry,Account access,Low,Social media,0
27,Samsung Galaxy,Cancellation request,Software bug,Critical,Social media,0
24,Microsoft Office,Refund request,Product setup,Critical,Chat,1
52,LG OLED,Refund request,Product recommendation,Medium,Phone,0
44,PlayStation,Technical issue,Data loss,High,Phone,0
68,LG Smart TV,Cancellation request,Data loss,Critical,Phone,1
37,Garmin Forerunner,Technical issue,Cancellation request,High,Phone,1
45,GoPro Action Camera,Technical issue,Account access,Critical,Social media,1
64,Canon DSLR Camera,Billing inquiry,Installation support,Low,Email,0
48,Lenovo ThinkPad,Refund request,Refund request,Critical,Email,1
27,Google Pixel,Product inquiry,Installation support,Critical,Social media,1
19,MacBook Pro,Product inquiry,Network problem,Medium,Phone,1
59,Amazon Kindle,Technical issue,Refund request,Low,Email,0
46,Canon EOS,Billing inquiry,Hardware issue,Low,Email,0
39,Sony 4K HDR TV,Product inquiry,Account access,Medium,Chat,0
19,Canon EOS,Billing inquiry,Hardware issue,High,Email,0
53,Canon DSLR Camera,Cancellation request,Data loss,Medium,Chat,0
67,LG Smart TV,Technical issue,Hardware issue,Low,Email,0
31,Samsung Galaxy,Billing inquiry,Display issue,High,Phone,0
53,Microsoft Surface,Cancellation request,Network problem,Critical,Email,1
67,MacBook Pro,Refund request,Refund request,Medium,Social media,0
52,PlayStation,Refund request,Cancellation request,Medium,Phone,0
43,Nest Thermostat,Refund request,Software bug,High,Email,0
55,Sony PlayStation,Refund request,Product recommendation,Critical,Email,1
57,Nintendo Switch Pro Controller,Technical issue,Cancellation request,High,Social media,1
26,Amazon Echo,Billing inquiry,Data loss,High,Social media,0
39,Sony Xperia,Product inquiry,Product setup,Low,Social media,0
64,Xbox,Cancellation request,Installation support,Medium,Social media,0
63,Sony Xperia,Product inquiry,Delivery problem,Medium,Phone,0
28,Nintendo Switch,Product inquiry,Software bug,Medium,Email,0
20,Garmin Forerunner,Cancellation request,Refund request,Medium,Social media,0
53,Nikon D,Technical issue,Display issue,Critical,Phone,1
68,Sony PlayStation,Product inquiry,Product setup,Critical,Email,1
39,Canon EOS,Technical issue,Data loss,Critical,Chat,0
28,Sony 4K HDR TV,Product inquiry,Peripheral compatibility,Medium,Phone,0
68,Canon DSLR Camera,Billing inquiry,Display issue,Medium,Email,0
41,Canon EOS,Product inquiry,Software bug,High,Social media,1
22,Bose QuietComfort,Billing inquiry,Refund request,Critical,Social media,1
22,Autodesk AutoCAD,Cancellation request,Peripheral compatibility,Medium,Email,0
63,Sony Xperia,Technical issue,Delivery problem,Critical,Chat,1
37,Fitbit Charge,Product inquiry,Refund request,High,Chat,0
69,Dell XPS,Refund request,Hardware issue,High,Chat,0
58,Nest Thermostat,Cancellation request,Payment issue,Critical,Email,1
26,Fitbit Versa Smartwatch,Technical issue,Delivery problem,High,Phone,1
70,LG Washing Machine,Product inquiry,Product recommendation,High,Email,0
37,MacBook Pro,Refund request,Data loss,Critical,Chat,1
30,Nintendo Switch Pro Controller,Technical issue,Peripheral compatibility,Low,Phone,0
68,Adobe Photoshop,Billing inquiry,Installation support,Critical,Phone,0
50,Dell XPS,Technical issue,Battery life,Medium,Email,1
29,LG Washing Machine,Cancellation request,Delivery problem,High,Social media,1
50,GoPro Action Camera,Technical issue,Hardware issue,Low,Chat,0
49,Nintendo Switch Pro Controller,Cancellation request,Peripheral compatibility,Medium,Chat,0
62,Bose QuietComfort,Technical issue,Product recommendation,Critical,Chat,1
36,Google Nest,Cancellation request,Hardware issue,High,Chat,1
45,Sony Xperia,Technical issue,Peripheral compatibility,Critical,Email,0
67,Google Nest,Cancellation request,Refund request,Critical,Email,0
37,Nintendo Switch Pro Controller,Technical issue,Peripheral compatibility,High,Phone,1
47,Microsoft Xbox Controller,Technical issue,Network problem,Critical,Email,1
51,Xbox,Cancellation request,Product compatibility,Critical,Phone,1
37,Roomba Robot Vacuum,Product inquiry,Payment issue,Medium,Phone,0
26,Philips Hue Lights,Refund request,Installation support,High,Chat,1
47,Samsung Soundbar,Technical issue,Product setup,Critical,Social media,1
25,Sony PlayStation,Product inquiry,Cancellation request,Medium,Social media,0
37,LG Smart TV,Billing inquiry,Product recommendation,Medium,Email,0
22,iPhone,Refund request,Payment issue,Critical,Chat,1
29,Dell XPS,Product inquiry,Hardware issue,High,Chat,0
49,iPhone,Cancellation request,Account access,Medium,Chat,0
27,Canon DSLR Camera,Cancellation request,Product compatibility,Critical,Chat,1
19,Sony PlayStation,Refund request,Display issue,Low,Phone,0
35,Bose SoundLink Speaker,Refund request,Product recommendation,Critical,Phone,0
30,LG OLED,Product inquiry,Product recommendation,High,Phone,1
21,Fitbit Versa Smartwatch,Cancellation request,Software bug,Critical,Email,1
46,Roomba Robot Vacuum,Refund request,Product recommendation,Critical,Chat,0
57,Google Pixel,Product inquiry,Peripheral compatibility,High,Social media,1
28,Sony 4K HDR TV,Technical issue,Peripheral compatibility,High,Email,1
41,Nikon D,Refund request,Product setup,Medium,Social media,0
27,Nintendo Switch Pro Controller,Product inquiry,Hardware issue,Low,Social media,0
23,LG Smart TV,Refund request,Product recommendation,High,Phone,1
29,Lenovo ThinkPad,Cancellation request,Hardware issue,Critical,Social media,0
19,Garmin Forerunner,Product inquiry,Software bug,Low,Email,0
21,GoPro Hero,Refund request,Hardware issue,Critical,Chat,1
27,Canon DSLR Camera,Cancellation request,Network problem,Medium,Phone,1
70,Nintendo Switch Pro Controller,Product inquiry,Product compatibility,Critical,Phone,0
49,Autodesk AutoCAD,Billing inquiry,Product compatibility,High,Phone,0
53,Fitbit Versa Smartwatch,Refund request,Display issue,Low,Email,0
29,Sony 4K HDR TV,Refund request,Display issue,Medium,Email,0
69,Nest Thermostat,Billing inquiry,Battery life,High,Social media,0
67,iPhone,Billing inquiry,Installation support,High,Social media,0
52,Roomba Robot Vacuum,Product inquiry,Payment issue,Medium,Phone,0
25,GoPro Hero,Refund request,Display issue,Medium,Social media,0
23,Nest Thermostat,Refund request,Account access,Low,Email,0
26,Canon EOS,Technical issue,Product compatibility,Medium,Chat,0
30,Asus ROG,Cancellation request,Refund request,High,Phone,1
33,Canon DSLR Camera,Refund request,Hardware issue,Critical,Chat,0
48,Bose QuietComfort,Cancellation request,Product recommendation,Medium,Phone,0
45,Adobe Photoshop,Technical issue,Payment issue,High,Phone,1
19,Apple AirPods,Billing inquiry,Data loss,High,Chat,0
21,Sony 4K HDR TV,Product inquiry,Product recommendation,Critical,Email,0
18,Bose SoundLink Speaker,Billing inquiry,Peripheral compatibility,Critical,Phone,1
37,Sony Xperia,Technical issue,Product setup,Low,Social media,0
33,LG Washing Machine,Technical issue,Software bug,Medium,Phone,0
35,Microsoft Surface,Refund request,Product setup,Critical,Phone,0
69,Sony Xperia,Billing inquiry,Cancellation request,Low,Social media,0
30,Google Nest,Cancellation request,Data loss,High,Chat,0
32,Bose QuietComfort,Technical issue,Network problem,Low,Phone,0
29,Nest Thermostat,Billing inquiry,Account access,Critical,Chat,0
54,Bose SoundLink Speaker,Cancellation request,Hardware issue,Critical,Phone,1
25,Garmin Forerunner,Refund request,Network problem,Critical,Social media,0
29,Nest Thermostat,Product inquiry,Battery life,High,Social media,1
34,Garmin Forerunner,Cancellation request,Display issue,Medium,Chat,0
48,Asus ROG,Technical issue,Peripheral compatibility,High,Email,0
43,Asus ROG,Product inquiry,Delivery problem,High,Social media,0
47,Autodesk AutoCAD,Billing inquiry,Payment issue,High,Chat,0
46,Samsung Galaxy,Billing inquiry,Hardware issue,Critical,Phone,1
60,LG OLED,Technical issue,Hardware issue,Medium,Phone,0
58,Philips Hue Lights,Product inquiry,Product compatibility,High,Phone,1
53,Microsoft Surface,Technical issue,Peripheral compatibility,Critical,Social media,1
41,Google Nest,Cancellation request,Delivery problem,Medium,Chat,0
63,Philips Hue Lights,Cancellation request,Account access,Low,Email,0
50,Nest Thermostat,Technical issue,Payment issue,Medium,Email,0
64,Microsoft Surface,Cancellation request,Network problem,Medium,Chat,0
24,Adobe Photoshop,Product inquiry,Display issue,Medium,Phone,0
30,LG OLED,Cancellation request,Product recommendation,Low,Chat,0
20,Bose SoundLink Speaker,Cancellation request,Hardware issue,Critical,Phone,0
64,Sony Xperia,Product inquiry,Network problem,Medium,Social media,0
65,Asus ROG,Product inquiry,Battery life,Medium,Email,1
33,Asus ROG,Cancellation request,Hardware issue,Low,Email,0
36,Bose SoundLink Speaker,Billing inquiry,Battery life,High,Chat,0
66,iPhone,Billing inquiry,Payment issue,Low,Social media,0
36,Samsung Soundbar,Technical issue,Delivery problem,Medium,Email,0
21,Microsoft Office,Technical issue,Product compatibility,Critical,Social media,1
57,iPhone,Billing inquiry,Display issue,Critical,Social media,0
43,Apple AirPods,Billing inquiry,Payment issue,Medium,Phone,0
68,GoPro Action Camera,Billing inquiry,Account access,High,Chat,0
67,Bose QuietComfort,Refund request,Refund request,Medium,Chat,1
20,Amazon Kindle,Billing inquiry,Network problem,Critical,Email,0
62,iPhone,Refund request,Refund request,Medium,Social media,0
51,PlayStation,Billing inquiry,Product compatibility,High,Social media,1
38,Microsoft Office,Refund request,Installation support,Low,Chat,0
64,Microsoft Surface,Refund request,Payment issue,High,Email,1
59,Samsung Galaxy,Product inquiry,Account access,Critical,Phone,1
48,Fitbit Versa Smartwatch,Cancellation request,Refund request,Medium,Chat,1
39,Bose QuietComfort,Cancellation request,Hardware issue,Critical,Phone,1
29,iPhone,Product inquiry,Network problem,Critical,Phone,0
60,Microsoft Surface,Cancellation request,Display issue,Critical,Phone,1
67,Sony Xperia,Technical issue,Payment issue,Medium,Phone,0
44,Sony PlayStation,Refund request,Installation support,Medium,Email,0
31,Bose SoundLink Speaker,Technical issue,Software bug,Low,Phone,0
47,Nikon D,Technical issue,Delivery problem,Low,Chat,0
56,Bose QuietComfort,Billing inquiry,Battery life,High,Chat,0
69,GoPro Action Camera,Refund request,Delivery problem,Medium,Chat,0
64,LG Smart TV,Product inquiry,Product recommendation,High,Chat,1
53,Nikon D,Product inquiry,Delivery problem,High,Email,1
42,Microsoft Surface,Product inquiry,Product compatibility,High,Chat,0
57,MacBook Pro,Refund request,Cancellation request,Critical,Social media,1
52,Microsoft Xbox Controller,Product inquiry,Display issue,High,Phone,0
64,Nintendo Switch,Product inquiry,Network problem,Medium,Phone,0
66,Sony PlayStation,Product inquiry,Network problem,Medium,Phone,1
67,GoPro Hero,Refund request,Display issue,Low,Chat,0
49,Lenovo ThinkPad,Refund request,Software bug,Low,Email,0
41,Samsung Soundbar,Cancellation request,Cancellation request,Medium,Social media,0
52,Microsoft Xbox Controller,Cancellation request,Product recommendation,Low,Chat,0
34,Microsoft Office,Refund request,Product compatibility,Medium,Chat,1
20,Amazon Kindle,Cancellation request,Data loss,Medium,Chat,1
40,LG Washing Machine,Billing inquiry,Display issue,Low,Social media,0
44,PlayStation,Billing inquiry,Cancellation request,Low,Phone,0
37,LG OLED,Refund request,Peripheral compatibility,Low,Social media,0
67,iPhone,Cancellation request,Software bug,Critical,Chat,0
19,Philips Hue Lights,Product inquiry,Battery life,Critical,Social media,1
36,Nest Thermostat,Cancellation request,Account access,Low,Email,0
41,Google Nest,Product inquiry,Hardware issue,Low,Email,0
25,Dyson Vacuum Cleaner,Product inquiry,Payment issue,Critical,Social media,1
33,Google Nest,Technical issue,Refund request,Critical,Social media,0
21,Canon DSLR Camera,Refund request,Software bug,High,Social media,1
23,Nintendo Switch Pro Controller,Technical issue,Product setup,High,Social media,1
62,Dell XPS,Refund request,Battery life,Medium,Social media,1
36,LG Smart TV,Technical issue,Software bug,Medium,Social media,1
43,Xbox,Technical issue,Delivery problem,Critical,Phone,0
43,Microsoft Office,Product inquiry,Payment issue,High,Social media,0
49,Samsung Soundbar,Billing inquiry,Network problem,High,Phone,0
21,Bose SoundLink Speaker,Refund request,Product setup,High,Social media,1
21,Garmin Forerunner,Billing inquiry,Network problem,Low,Social media,0
18,Xbox,Refund request,Hardware issue,Critical,Phone,1
53,LG Washing Machine,Technical issue,Display issue,Medium,Chat,0
25,Sony 4K HDR TV,Cancellation request,Product recommendation,Medium,Phone,0
68,Fitbit Versa Smartwatch,Product inquiry,Data loss,Medium,Email,1
66,Amazon Echo,Technical issue,Network problem,High,Email,0
25,GoPro Action Camera,Cancellation request,Product recommendation,High,Phone,0
39,Nintendo Switch,Cancellation request,Network problem,Low,Chat,0
42,Sony PlayStation,Billing inquiry,Product setup,Medium,Chat,0
38,Microsoft Office,Technical issue,Product setup,High,Chat,0
54,Xbox,Billing inquiry,Display issue,High,Chat,1
54,Sony PlayStation,Technical issue,Network problem,Medium,Email,1
21,Canon EOS,Refund request,Product recommendation,Critical,Email,1
49,Autodesk AutoCAD,Cancellation request,Account access,Medium,Chat,0
38,GoPro Hero,Technical issue,Installation support,Low,Phone,0
35,iPhone,Cancellation request,Payment issue,Critical,Social media,1
54,Dyson Vacuum Cleaner,Refund request,Display issue,Low,Social media,0
27,Fitbit Charge,Refund request,Delivery problem,Low,Phone,0
52,LG Smart TV,Billing inquiry,Installation support,Medium,Email,0
31,Amazon Kindle,Product inquiry,Payment issue,Medium,Phone,0
65,GoPro Hero,Billing inquiry,Installation support,High,Chat,0
24,LG Washing Machine,Refund request,Product compatibility,Critical,Email,1
30,iPhone,Cancellation request,Payment issue,Medium,Chat,0
58,Apple AirPods,Billing inquiry,Software bug,Low,Email,0
58,Sony 4K HDR TV,Cancellation request,Hardware issue,Critical,Email,1
66,Adobe Photoshop,Cancellation request,Data loss,Critical,Social media,1
19,Bose SoundLink Speaker,Cancellation request,Network problem,Critical,Email,1
50,HP Pavilion,Billing inquiry,Battery life,Low,Phone,0
38,Nintendo Switch,Refund request,Data loss,High,Social media,0
40,LG Washing Machine,Billing inquiry,Product recommendation,High,Phone,1
38,GoPro Hero,Technical issue,Installation support,High,Social media,1
56,Google Pixel,Refund request,Account access,Medium,Email,1
35,Sony 4K HDR TV,Technical issue,Installation support,Low,Email,0
62,Microsoft Surface,Billing inquiry,Network problem,Critical,Social media,0
27,Dyson Vacuum Cleaner,Technical issue,Network problem,Low,Chat,0
62,Canon EOS,Billing inquiry,Cancellation request,High,Phone,0
47,LG Washing Machine,Cancellation request,Display issue,Critical,Chat,1
25,Fitbit Versa Smartwatch,Billing inquiry,Data loss,Critical,Social media,1
29,Autodesk AutoCAD,Product inquiry,Delivery problem,Critical,Email,0
48,LG OLED,Billing inquiry,Product compatibility,Medium,Email,0
53,Dell XPS,Refund request,Battery life,Medium,Email,0
48,Google Nest,Product inquiry,Product compatibility,Critical,Phone,1
